# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# - name: flux_radius
#   datatype: float64
# - name: x
#   datatype: float64
# - name: y
#   datatype: float64
# - name: cxx
#   datatype: float64
# - name: cyy
#   datatype: float64
# - name: cxy
#   datatype: float64
# - name: A
#   datatype: float64
# - name: B
#   datatype: float64
# - name: theta
#   datatype: float64
# - name: ellip
#   datatype: float64
# meta: !!omap
# - comment:
#   - image_file=/data2/THACHER/workspace/gw190425/1/t005aae21265.r.ut190710.074250_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels flux_radius x y cxx cyy cxy A B theta ellip
30 473515 243.53865472 50.767997158 17.842 r 16.8341 167 3.893 2095.63 710.312 0.12618335 0.108572 0.063177846 3.438 2.581 -52.8 0.249
78 74757 243.62877895 50.812941427 16.913 r 15.7795 348 6.039 1753.385 979.462 0.060395937 0.066336311 0.016370762 4.277 3.725 -35.0 0.129
93 450372 243.50340587 50.830284025 16.629 r 15.408 404 5.145 2228.42 1084.35 0.068553582 0.05653489 0.0088677872 4.261 3.779 -71.8 0.113
125 525603 243.4438984 50.860441139 18.33 r 16.8094 0 5.555 2453.32 1265.969 0.12652323 0.10512302 -0.011622419 3.106 2.795 75.7 0.1
165 58024 243.71953647 50.899654165 17.7 r 16.5157 242 6.252 1409.481 1499.64 0.060476303 0.086497545 -0.0084837945 4.089 3.387 9.0 0.172
202 672567 243.66277708 50.927827745 18.9 r 17.4859 103 3.783 1624.188 1668.694 0.14889912 0.1788691 0.0029848469 2.592 2.364 -2.8 0.088
249 1287750 243.62096494 50.964698699 19.02 r 18.8155 38 2.735 1782.09 1890.035 0.42618549 0.33963498 0.095363542 1.772 1.495 -66.1 0.156
305 78575 243.51559729 51.030452031 16.215 r 15.8341 444 7.175 2179.292 2285.242 0.041505333 0.040843349 -0.0035074225 5.039 4.825 50.3 0.042
328 383289 243.75235899 51.051323619 18.41 r 17.4491 112 5.125 1285.979 2409.727 0.13767222 0.14104113 0.056032706 2.998 2.444 -43.3 0.185
365 525610 243.71894972 51.001163935 17.867 r 16.6985 165 3.451 1411.895 2108.698 0.092527397 0.16718312 0.029866215 3.34 2.425 -10.9 0.274
370 518663 243.5527169 50.999190159 17.066 r 16.2665 357 9.23 2039.585 2097.364 0.050856702 0.057914104 -0.081741676 8.651 3.237 42.5 0.626
