# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# - name: flux_radius
#   datatype: float64
# - name: x
#   datatype: float64
# - name: y
#   datatype: float64
# - name: cxx
#   datatype: float64
# - name: cyy
#   datatype: float64
# - name: cxy
#   datatype: float64
# - name: A
#   datatype: float64
# - name: B
#   datatype: float64
# - name: theta
#   datatype: float64
# - name: ellip
#   datatype: float64
# meta: !!omap
# - comment:
#   - image_file=/data2/THACHER/workspace/gw190425/1/t005aae15385.r.ut190702.110503_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels flux_radius x y cxx cyy cxy A B theta ellip
24 303655 247.70970551 41.402580019 16.91 r 15.9778 271 7.678 1377.93 639.681 0.075538673 0.048631322 -0.014703451 4.625 3.594 75.7 0.223
55 1245703 247.75652102 41.421833949 18.5 r 17.55 49 5.339 1167.336 755.328 0.31751734 0.27478164 0.14725322 2.135 1.638 -53.1 0.233
58 2234365 247.8548102 41.428615561 18.59 r 17.3967 82 4.242 725.197 796.647 0.23733498 0.15772402 0.12790103 2.861 1.914 -60.9 0.331
65 38912 247.61193173 41.484135829 14.343 r 13.9429 1604 16.97 1817.562 1129.127 0.011795448 0.010543805 -0.0021030942 10.027 8.983 60.4 0.104
68 267793 247.63869748 41.438672226 17.49 r 16.4834 179 6.344 1697.392 856.266 0.04787457 0.16740376 -0.03282674 4.68 2.428 7.7 0.481
86 2234375 247.88742238 41.460602935 18.01 r 16.8342 113 3.31 578.94 988.892 0.1964152 0.13081102 0.038884211 2.823 2.226 -74.7 0.211
100 2234371 247.68015913 41.470635323 18.49 r 17.4573 72 5.338 1510.893 1047.995 0.15917328 0.32605001 -0.24415851 3.249 1.6 27.8 0.507
133 1245749 247.85777846 41.510829908 18.28 r 17.5109 70 4.632 712.845 1289.961 0.18621871 0.22305121 -0.0071784663 2.319 2.116 5.5 0.088
156 1245766 247.86918034 41.534053343 18.18 r 17.2429 74 4.727 661.917 1429.409 0.22487327 0.19532967 -0.0012668587 2.263 2.109 88.8 0.068
187 339513 247.48507529 41.556910674 17.78 r 17.2212 97 5.78 2386.764 1566.66 0.0728864 0.33168489 -0.10209884 3.978 1.711 10.8 0.57
198 339516 247.68534529 41.567533723 17.97 r 16.967 102 6.35 1487.596 1629.386 0.11298116 0.17765 0.054174423 3.114 2.309 -20.0 0.258
216 137125 247.47691878 41.604678874 15.357 r 14.5515 735 10.53 2422.703 1853.355 0.028013045 0.037840966 0.030184854 7.657 4.527 -36.0 0.409
273 1245840 247.89053177 41.63359119 18.31 r 17.096 91 4.473 567.458 2026.856 0.18069497 0.17289175 0.046133749 2.553 2.235 -49.8 0.125
341 1145714 247.89694916 41.715590932 17.33 r 17.3832 94 3.417 539.901 2518.928 0.15736364 0.18320306 -0.028103119 2.572 2.298 23.7 0.106
