# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# - name: flux_radius
#   datatype: float64
# - name: x
#   datatype: float64
# - name: y
#   datatype: float64
# - name: cxx
#   datatype: float64
# - name: cyy
#   datatype: float64
# - name: cxy
#   datatype: float64
# - name: A
#   datatype: float64
# - name: B
#   datatype: float64
# - name: theta
#   datatype: float64
# - name: ellip
#   datatype: float64
# meta: !!omap
# - comment:
#   - image_file=/data2/THACHER/workspace/gw190425/1/t005aae19062.r.ut190630.103119_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels flux_radius x y cxx cyy cxy A B theta ellip
15 388065 236.2070879 46.935200121 18.75 r 18.3061 43 3.762 576.307 579.644 0.48187399 0.24099386 0.25570911 2.32 1.365 -66.6 0.412
17 517146 235.75241795 46.939929404 17.239 r 16.4237 182 4.01 2438.993 608.062 0.095136628 0.12789549 0.057060983 3.566 2.631 -30.1 0.262
36 2283454 235.77657939 46.964628517 18.59 r 17.5521 77 4.001 2339.625 755.984 0.18088321 0.21918567 -0.028378014 2.382 2.114 18.3 0.113
43 297258 236.13768771 46.976955108 17.76 r 16.6717 149 8.676 861.138 829.484 0.050586496 0.1894284 -0.015588698 4.465 2.295 3.2 0.486
58 61177 236.16270798 46.993923286 16.854 r 16.0578 251 5.715 758.947 931.513 0.12945443 0.04741681 -0.048808783 4.956 2.71 74.6 0.453
60 12458 236.11230996 47.006750846 14.697 r 13.7721 1593 10.143 965.328 1008.068 0.014218247 0.019911082 0.0058423374 8.775 6.877 -22.9 0.216
82 61515 236.08486073 47.018906391 17.75 r 16.7156 146 4.051 1077.732 1080.834 0.13073725 0.11866748 0.017677041 2.962 2.718 -62.2 0.082
97 517194 236.00505754 47.034308429 16.836 r 15.8765 294 5.253 1404.199 1172.982 0.030112309 0.15012956 0.00011159229 5.763 2.581 -0.0 0.552
130 1123743 236.20027043 47.06155874 17.76 r 17.1836 112 5.484 606.359 1337.719 0.13695237 0.13570033 -0.0059292284 2.739 2.679 51.0 0.022
188 2187698 236.1116932 47.116507114 17.71 r 16.7012 142 3.754 968.947 1666.602 0.13285863 0.12823892 0.011484512 2.836 2.704 -56.0 0.046
189 59054 235.88463915 47.123451646 16.405 r 15.7791 348 7.417 1895.971 1708.072 0.069231927 0.044362418 -0.040587507 5.505 3.522 60.7 0.36
227 58702 236.08445825 47.158929341 16.076 r 15.4671 525 9.131 1080.484 1920.97 0.055860836 0.054319933 0.088508859 9.61 3.173 -45.5 0.67
247 2283492 236.12824613 47.168529538 19.01 r 17.622 78 4.44 901.946 1978.856 0.23007883 0.15993522 0.053551234 2.574 2.045 -71.3 0.206
