# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# - name: flux_radius
#   datatype: float64
# - name: x
#   datatype: float64
# - name: y
#   datatype: float64
# - name: cxx
#   datatype: float64
# - name: cyy
#   datatype: float64
# - name: cxy
#   datatype: float64
# - name: A
#   datatype: float64
# - name: B
#   datatype: float64
# - name: theta
#   datatype: float64
# - name: ellip
#   datatype: float64
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae37244.i.ut190425.1015_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels flux_radius x y cxx cyy cxy A B theta ellip
227 322613 87.167694871 -25.573564821 18.25 i 17.3242 258 6.698 2522.767 606.931 0.068075694 0.063532859 -0.0086116157 4.051 3.762 58.9 0.071
511 80774 87.177863966 -25.51919059 15.874 i 14.2259 1886 11.267 2446.942 1056.947 0.015168518 0.010179455 0.0082961461 11.298 7.556 -60.5 0.331
585 322642 87.143507867 -25.519083416 17.71 i 16.6902 572 10.811 2703.531 1057.75 0.016740942 0.036709692 0.026022047 9.841 4.815 -26.2 0.511
628 322648 87.19476569 -25.510693057 17.57 i 16.4142 559 8.293 2320.716 1127.288 0.052489012 0.026039919 -0.026049091 6.95 4.159 67.7 0.402
697 9972 87.180119819 -25.477200522 15.874 i 13.1674 6407 14.742 2430.156 1404.456 0.0040927636 0.0050990614 0.0033690145 18.772 12.545 -36.7 0.332
698 322653 87.144598472 -25.503229508 17.77 i 16.3881 419 5.951 2695.444 1188.959 0.050216287 0.069471642 -0.040349253 5.165 3.488 32.2 0.325
701 7874 87.159587244 -25.477905177 14.072 i 13.1443 8003 21.759 2583.555 1398.584 0.0030635584 0.0034935095 0.00050407223 18.42 16.644 -24.8 0.096
784 579365 87.192404975 -25.489330925 16.766 i 15.5843 797 6.451 2338.364 1304.078 0.029051652 0.042774349 -0.0030300769 5.884 4.826 6.2 0.18
787 80771 87.129040953 -25.485681633 16.548 i 15.0517 1109 6.389 2811.733 1334.125 0.025753468 0.02641502 0.011262536 6.994 5.614 -43.3 0.197
816 322666 87.107120548 -25.487087062 18.01 i 16.3446 379 4.64 2975.482 1322.388 0.051069047 0.087184727 -0.032026418 4.714 3.275 20.8 0.305
828 84693 87.26323881 -25.479651362 16.124 i 15.1371 1373 10.921 1809.175 1384.091 0.013005607 0.021298097 -0.006140315 9.132 6.695 18.3 0.267
938 80783 87.306255657 -25.463685663 16.416 i 14.7793 1064 5.749 1487.697 1516.027 0.020460786 0.048618868 -0.016298085 7.398 4.436 15.0 0.4
943 1188016 87.146807945 -25.466581344 17.14 i 16.7661 377 7.274 2679.071 1492.263 0.036946945 0.063887067 0.0039398787 5.213 3.952 -4.2 0.242
951 80778 87.214696858 -25.459435706 16.691 i 15.2989 943 6.564 2171.816 1551.488 0.035634968 0.02945043 0.025723496 7.195 4.674 -51.8 0.35
1055 534085 87.160294392 -25.443401108 16.708 i 15.7681 915 8.516 2578.366 1684.138 0.040385507 0.014679263 -0.0039536091 8.297 4.967 85.6 0.401
1098 80781 87.253531501 -25.432705662 15.947 i 14.5429 2124 8.264 1881.554 1772.638 0.01597701 0.012757654 0.00030058945 8.856 7.91 -87.3 0.107
1108 80776 87.195062212 -25.437897289 16.267 i 14.9225 1134 6.511 2318.542 1729.738 0.017883774 0.040562347 0.0068839272 7.587 4.934 -8.4 0.35
1111 84695 87.273242601 -25.431334039 15.613 i 14.8137 1834 15.056 1734.23 1783.924 0.010418796 0.012736764 -0.006648785 11.141 8.138 35.4 0.269
1296 80784 87.307053369 -25.406781092 16.193 i 14.7042 1405 6.086 1481.374 1986.958 0.015874257 0.036986556 0.011940721 8.362 5.093 -14.7 0.391
1464 1188103 87.29913508 -25.381071079 17.76 i 16.8219 345 6.146 1540.416 2199.774 0.082638271 0.051087998 -0.062737562 5.612 3.132 58.3 0.442
1474 322733 87.031199362 -25.379611659 18.29 i 16.9839 277 8.011 3543.804 2211.268 0.077323005 0.054494634 0.02012616 4.442 3.511 -69.3 0.21
1519 80772 87.138239536 -25.364521063 15.467 i 14.2009 2335 11.007 2743.508 2336.871 0.0097329477 0.014866507 0.0027265323 10.318 8.109 -14.0 0.214
1560 129641 86.927149562 -25.366299773 16.902 i 16.5122 389 6.145 4322.036 2320.127 0.058312159 0.036852106 0.0087295491 5.271 4.111 -78.9 0.22
1577 10891 87.340150784 -25.346564322 14.245 i 13.1757 6897 17.679 1233.448 2485.083 0.0033518004 0.0056684618 0.0016847077 18.025 12.972 -18.0 0.28
1625 84696 87.355335135 -25.356824911 16.529 i 15.4286 915 8.033 1119.977 2400.046 0.0084406016 0.083776854 0.0050200759 10.939 3.453 -1.9 0.684
1626 80788 87.3907394 -25.345887614 15.908 i 14.6114 1894 9.329 855.076 2490.228 0.018847156 0.012518414 -0.0073461458 9.607 6.979 65.4 0.274
