# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190425.1085_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
81 629398 239.04820872 24.093044064 18.171 i 16.7039 291
94 629407 239.14996921 24.097167126 16.767 i 16.1083 689
148 500040 239.07054339 24.107640206 17.033 i 15.5377 884
386 1229519 239.18992367 24.157297905 18.33 i 16.8814 264
441 1413085 238.80060735 24.168573687 18.7 i 17.2632 216
460 1229536 239.05816491 24.172337342 19.19 i 17.3689 180
465 629504 238.75856906 24.174883879 18.29 i 16.8181 276
524 302392 238.72355864 24.189198834 18.34 i 16.5448 481
586 629548 238.76918238 24.19970609 18.19 i 16.7171 282
675 500140 238.99197801 24.225074944 17.477 i 16.0623 541
688 1229594 238.77079072 24.224435238 18.47 i 17.0428 273
698 335854 239.21394569 24.227427981 18.62 i 17.2018 223
822 2424656 238.884044 24.254826352 18.32 i 16.721 301
859 335865 239.21894802 24.264895701 18.31 i 16.7883 389
897 450503 238.97085597 24.273156185 17.183 i 16.3953 382
944 629640 238.87972915 24.281347474 18.42 i 17.0782 253
963 1229649 238.82115543 24.285248196 18.57 i 17.3326 266
1046 629674 239.19156946 24.307938739 18.35 i 16.8871 261
1068 1412342 239.18676139 24.315752953 18.75 i 17.2855 245
1170 71095 238.98652789 24.342027608 17.75 i 16.3717 458
1223 1436693 238.79809155 24.350443018 20.36 i 18.1725 100
1372 71108 239.01861382 24.399565979 17.88 i 16.5068 543
1373 362249 239.02322811 24.390801164 18.85 i 17.3425 269
1382 500263 238.77329521 24.393336023 18.168 i 16.5376 360
1394 1229746 239.05183443 24.394036606 18.71 i 17.2253 209
1460 24410 239.01635468 24.448073816 15.091 i 13.7142 4437
1484 1229777 238.80869408 24.41314641 18.89 i 17.3232 193
1512 629841 239.14469709 24.424298168 17.92 i 15.9769 571
1535 500285 239.02881077 24.429266736 16.881 i 15.9228 654
1566 500291 239.0465704 24.434983387 17.016 i 15.5914 782
1663 1229817 239.18223675 24.449187148 18.99 i 17.2279 233
1667 1229819 239.13538815 24.450367067 18.73 i 17.0179 238
1694 362250 239.08777245 24.457608193 18.23 i 17.1501 312
1771 1229899 238.79723068 24.530396892 18.38 i 16.907 309
1832 629950 239.16464434 24.505721879 18.65 i 16.7587 307
1836 451517 238.92852606 24.495720218 17.447 i 15.9519 773
1873 1151627 238.95012994 24.486669312 17.83 i 16.3189 429
1889 26830 238.93875654 24.493939019 15.462 i 14.3607 2444
1932 1229856 239.14210044 24.485497605 18.52 i 17.3367 274
2067 500344 239.12203421 24.523690021 17.452 i 16.4943 349
2069 71137 239.04791719 24.559598652 17.679 i 16.3799 319
2175 500371 239.07765156 24.556532957 18.149 i 16.4631 431
