# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae16234.r.ut190428.4151_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
171 6736 247.4006713 15.658470961 14.261 r 13.3521 5489
870 361364 247.22493848 15.760673408 18.3 r 17.1742 306
1017 1222377 247.21054008 15.785415872 19.01 r 17.5411 228
1024 125630 247.28783254 15.791195611 17.206 r 16.2034 492
1031 361379 247.49352379 15.793158499 17.99 r 17.0872 414
1152 1409550 247.15673637 15.809092296 19.12 r 17.7064 171
1179 462821 247.59983693 15.818883038 16.953 r 16.4228 760
1247 1409618 247.60113702 15.826535211 18.35 r 17.0652 252
1493 1412515 247.12229139 15.865920431 18.88 r 17.4482 218
2487 1430361 247.31946148 16.037179874 18.19 r 17.4075 217
2507 69406 247.42023059 16.082247734 16.346 r 15.3009 1014
