# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# - name: flux_radius
#   datatype: float64
# - name: x
#   datatype: float64
# - name: y
#   datatype: float64
# - name: cxx
#   datatype: float64
# - name: cyy
#   datatype: float64
# - name: cxy
#   datatype: float64
# - name: A
#   datatype: float64
# - name: B
#   datatype: float64
# - name: theta
#   datatype: float64
# - name: ellip
#   datatype: float64
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae14697.i.ut190429.5141_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels flux_radius x y cxx cyy cxy A B theta ellip
99 623258 243.72580473 19.125585853 17.386 i 16.0857 396 5.012 2830.642 451.095 0.064299665 0.051943954 0.0060349032 4.417 3.922 -77.0 0.112
366 334695 243.96915314 19.174320749 18.37 i 17.4231 206 6.315 928.264 854.941 0.10511383 0.06096125 0.01998103 4.124 3.053 -77.8 0.26
458 1225456 243.73438682 19.198297815 18.23 i 16.7332 266 3.377 2763.309 1052.829 0.14005238 0.080793694 0.099754505 4.368 2.437 -60.4 0.442
683 454653 243.86930097 19.226105546 16.783 i 15.851 734 11.139 1708.961 1282.974 0.0083796345 0.086782902 -0.013347534 11.311 3.384 4.8 0.701
694 1430173 243.74783529 19.226513458 18.66 i 17.3655 171 3.866 2658.13 1286.303 0.092110746 0.14938074 -0.033973798 3.382 2.548 15.3 0.247
725 623475 243.8398789 19.235177215 17.99 i 16.4649 323 5.451 1938.891 1357.978 0.071158372 0.0715748 0.011685077 3.907 3.599 -44.0 0.079
789 1225522 244.08457529 19.246552922 18.62 i 17.1406 0 6.025 27.005 1453.907 0.064210609 0.080258325 -0.0074162898 3.972 3.512 12.4 0.116
925 454695 243.71853974 19.277901523 16.64 i 15.723 756 9.515 2886.854 1711.673 0.028040618 0.01579169 0.010264343 8.474 5.783 -70.0 0.318
971 1225565 244.0361994 19.279415083 18.22 i 16.9027 221 3.674 405.36 1725.306 0.10878506 0.09349186 -0.034878761 3.49 2.885 56.8 0.173
1036 623579 243.9343637 19.291815653 18.32 i 16.6933 291 5.758 1200.962 1827.082 0.058857027 0.091742635 0.0054983236 4.13 3.297 -4.7 0.202
1091 334732 244.01035255 19.301970003 18.76 i 17.282 181 4.209 607.499 1911.708 0.097211793 0.12974514 0.068778723 3.641 2.569 -32.3 0.294
1194 1412278 243.5844025 19.319207575 19.83 i 18.4519 71 2.088 3934.291 2054.415 0.27796814 0.24379823 0.020265808 2.037 1.887 -74.7 0.073
1203 623648 243.74711849 19.325548164 17.579 i 16.2735 429 6.157 2663.481 2105.904 0.051765654 0.066193111 0.061330855 6.033 3.324 -38.4 0.449
1341 623699 243.88067757 19.351095036 17.797 i 16.2644 353 4.596 1620.543 2317.41 0.093345486 0.055234119 -0.016590174 4.323 3.243 78.2 0.25
1360 1225661 244.03048227 19.350288316 18.44 i 17.0482 218 3.92 450.803 2311.787 0.070897087 0.1392159 -0.0045798989 3.758 2.679 1.9 0.287
1362 1225664 243.69350232 19.353180742 17.98 i 16.8247 331 6.914 3082.059 2334.781 0.072248034 0.050344534 0.052448764 5.515 3.339 -56.3 0.395
1453 454775 243.98550041 19.366509669 18.15 i 16.4674 261 5.634 802.185 2445.61 0.090678394 0.096334025 -0.043979343 3.744 2.94 41.3 0.215
1567 1225704 243.70665801 19.386675962 18.84 i 17.1591 204 4.388 2979.186 2611.923 0.09023127 0.1473199 0.11171266 4.224 2.347 -31.5 0.444
1586 623777 243.96673879 19.391666365 18.14 i 16.6046 290 5.03 948.87 2653.655 0.094110005 0.070303321 0.015359531 3.834 3.221 -73.6 0.16
1615 454814 243.76819694 19.398235315 17.78 i 16.659 395 6.501 2498.757 2707.413 0.040495992 0.057803631 -0.0036961683 4.981 4.152 6.0 0.166
1658 1225733 243.66579211 19.40568671 18.5 i 17.2262 149 2.638 3298.09 2769.465 0.15787663 0.14733756 -0.01212379 2.63 2.495 65.5 0.051
1791 1416771 243.87317702 19.431560911 19.23 i 17.3709 168 3.909 1679.392 2983.31 0.13159962 0.11239957 -0.030191232 3.099 2.674 61.2 0.137
1796 334770 243.94991474 19.434465003 17.93 i 16.6706 303 5.395 1080.513 3007.732 0.075074017 0.070053779 -0.044287704 4.46 3.247 48.2 0.272
1846 126049 243.91375512 19.443907926 18.03 i 16.6958 285 4.715 1362.767 3085.664 0.073884018 0.079087138 -0.0025170618 3.686 3.549 12.9 0.037
1945 1144613 243.83249763 19.464949481 17.84 i 16.6884 411 8.515 1996.925 3259.533 0.040429529 0.044380631 0.007916227 5.131 4.621 -31.7 0.099
2186 1225853 243.9349031 19.498862245 18.52 i 17.4138 224 5.849 1198.085 3540.581 0.078583315 0.077370308 0.031319473 4.006 3.268 -46.1 0.184
2517 334799 243.81159375 19.534325232 18.22 i 16.7683 244 4.094 2160.074 3833.66 0.10872421 0.083858311 -0.020336486 3.53 2.983 70.4 0.155
2706 624127 243.8533791 19.578511737 18.43 i 16.8283 295 5.939 1834.279 4199.409 0.049835395 0.085252337 -0.016949087 4.569 3.387 12.8 0.259
