# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae14544.i.ut190429.5140_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
133 126068 241.70660517 19.626769509 15.908 i 14.8687 1384
225 496615 241.98774594 19.644097268 16.938 i 16.2969 494
719 135004 241.57926279 19.763449775 15.513 i 15.0111 1967
787 70125 241.6193448 19.753390293 16.727 i 15.4704 855
798 305440 241.51985004 19.760681721 17.68 i 16.5713 504
1011 496772 241.55038381 19.794072449 17.84 i 16.4885 481
1322 70146 241.80833179 19.858254521 16.591 i 15.4199 918
1335 451806 241.64187434 19.856250022 16.392 i 15.6256 763
1442 1127776 241.63595178 19.872108654 18.32 i 17.0631 221
1509 301954 241.8568991 19.894988378 16.65 i 15.5778 907
1743 1226433 241.79816588 19.937747116 18.12 i 16.9574 310
2106 624940 241.5145743 20.048720216 18.13 i 16.9827 228
2553 334930 241.60947768 20.011796942 17.97 i 16.6955 325
