# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# - name: flux_radius
#   datatype: float64
# - name: x
#   datatype: float64
# - name: y
#   datatype: float64
# - name: cxx
#   datatype: float64
# - name: cyy
#   datatype: float64
# - name: cxy
#   datatype: float64
# - name: A
#   datatype: float64
# - name: B
#   datatype: float64
# - name: theta
#   datatype: float64
# - name: ellip
#   datatype: float64
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae14702.r.ut190428.4147_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels flux_radius x y cxx cyy cxy A B theta ellip
40 1409469 246.59558385 19.099441593 18.97 r 17.7243 122 3.874 900.177 235.268 0.119142 0.10339884 -0.061002742 3.541 2.647 52.2 0.253
111 1225360 246.21382539 19.116908 18.75 r 17.0752 503 9.386 3885.501 380.131 0.040695354 0.034860399 -0.032588586 6.864 4.29 50.1 0.375
492 623352 246.19638248 19.178231668 17.922 r 17.1131 377 5.519 4021.234 887.816 0.093433261 0.033160232 -0.019607227 5.625 3.245 81.0 0.423
1702 454820 246.45617709 19.402287411 16.561 r 16.0127 780 10.174 1990.874 2740.95 0.014285522 0.10919292 -0.056957208 12.504 2.922 15.5 0.766
1726 1409379 246.17735124 19.406490251 17.94 r 17.2241 288 5.044 4167.314 2777.072 0.068448901 0.071077392 -0.004322764 3.857 3.719 29.3 0.036
1758 53992 246.21357402 19.42656115 16.392 r 15.6191 1097 6.849 3884.366 2942.804 0.044145297 0.017417779 -0.019493323 8.38 4.597 71.9 0.451
2083 334786 246.59509929 19.476702601 18.48 r 17.5076 351 7.425 907.074 3357.449 0.050179433 0.042932604 0.0087599736 4.946 4.375 -64.8 0.115
2140 1409388 246.2336566 19.486328814 19.02 r 17.5123 188 3.589 3727.084 3437.256 0.12980336 0.11775175 0.0012555639 2.915 2.775 -87.0 0.048
2361 467092 246.37440399 19.498495729 17.154 r 16.2355 515 4.281 2628.961 3537.188 0.028002841 0.13529052 -0.065866038 7.313 2.63 15.8 0.64
2610 1225913 246.23059926 19.545562374 18.63 r 17.4771 242 4.676 3750.392 3927.498 0.090443008 0.094639607 0.069112465 4.155 2.804 -43.3 0.325
2624 56049 246.55547991 19.560913567 15.66 r 14.9946 1333 9.23 1216.733 4054.102 0.033017971 0.019414539 0.03223652 10.708 4.783 -56.4 0.553
