# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae27067.i.ut190425.1059_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
139 1039424 254.73308516 -5.7242312374 16.448 i 16.2294 417
225 1039426 254.63473098 -5.7195275036 17.57 i 16.9139 287
495 1039428 254.81361811 -5.6933471368 17.068 i 16.7841 411
757 1039427 254.8333028 -5.6644501745 17.281 i 15.8869 631
875 1039423 254.65570954 -5.635467057 16.195 i 15.7913 851
1381 429211 254.57781184 -5.6105742327 16.467 i 15.5203 681
1907 1039364 254.39266771 -5.5608303338 16.875 i 16.1236 486
2502 1039419 254.65921818 -5.5069668581 17.653 i 17.1618 221
2740 1039372 254.52731993 -5.484256239 17.132 i 16.8044 333
3296 1039418 254.69463803 -5.4303578782 18.015 i 17.0041 232
3489 1039422 254.65196747 -5.4090394316 17.258 i 16.9107 347
3914 429215 254.78356992 -5.3719400873 17.388 i 16.8726 308
4391 240316 254.71570257 -5.300729409 16.977 i 16.7533 361
4406 1039416 254.73298336 -5.2994506246 16.317 i 15.8214 648
4814 240317 254.78563649 -5.3404498372 17.006 i 16.457 300
