# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# - name: flux_radius
#   datatype: float64
# - name: x
#   datatype: float64
# - name: y
#   datatype: float64
# - name: cxx
#   datatype: float64
# - name: cyy
#   datatype: float64
# - name: cxy
#   datatype: float64
# - name: A
#   datatype: float64
# - name: B
#   datatype: float64
# - name: theta
#   datatype: float64
# - name: ellip
#   datatype: float64
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae0297.i.ut190425.1073_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels flux_radius x y cxx cyy cxy A B theta ellip
154 1142339 241.02953289 23.605122597 19.343 i 17.1798 226 4.815 3122.979 515.306 0.087342978 0.10956749 -0.099545762 4.59 2.587 38.7 0.436
198 70922 241.18996441 23.628644346 16.771 i 15.8746 625 7.483 1906.417 709.675 0.020726744 0.069128595 -0.032573529 7.966 3.674 17.0 0.539
210 77781 241.15023636 23.625129257 15.977 i 15.1653 1105 9.178 2207.637 680.53 0.014790934 0.028528865 0.0031808822 8.273 5.902 -6.5 0.287
301 78303 241.24984809 23.658356734 15.455 i 14.7307 1834 11.562 1452.556 955.812 0.021324547 0.010879958 -0.016122172 12.406 6.237 61.5 0.497
320 62388 241.15270391 23.663192337 15.751 i 14.4662 1850 9.0 2188.945 995.539 0.022828616 0.016306892 0.022484392 11.278 5.655 -53.1 0.499
337 82939 241.26033427 23.669000145 15.2 i 14.6179 2393 15.047 1373.139 1043.958 0.010176672 0.010004167 -0.010461377 14.346 8.079 45.5 0.437
537 690279 241.3795815 23.701819118 19.23 i 16.9558 210 3.566 469.722 1316.677 0.09484905 0.13048029 0.055554021 3.543 2.62 -28.7 0.26
714 62406 241.32341899 23.755728186 15.447 i 14.1625 1956 8.55 895.877 1762.205 0.018080421 0.015249021 0.0041955733 8.411 7.218 -62.0 0.142
744 70947 241.23465465 23.757819005 16.884 i 15.6135 689 6.192 1568.25 1778.873 0.049749684 0.028374834 -0.0015240567 5.939 4.482 88.0 0.245
1039 62386 241.13940235 23.837742235 15.837 i 14.9708 1411 10.075 2289.719 2440.092 0.012385412 0.023436358 0.0056632319 9.244 6.439 -13.6 0.303
1134 397400 241.30088963 23.852624955 18.7 i 17.5986 212 6.597 1067.413 2563.911 0.097617507 0.068361394 -0.066398866 4.627 2.896 56.9 0.374
1156 62402 241.27674579 23.86500934 16.468 i 15.1855 1015 6.964 1250.255 2666.217 0.035791125 0.023039725 -0.0077678249 6.75 5.207 74.3 0.229
1206 66171 241.24700823 23.869825232 16.997 i 15.9586 576 6.181 1475.347 2705.886 0.023516193 0.074112594 -0.0058061574 6.544 3.669 3.3 0.439
1228 499829 240.94704777 23.874625331 17.926 i 16.5508 333 4.925 3745.4 2746.374 0.086450629 0.06394434 -0.063986398 4.922 3.027 54.7 0.385
1251 335757 241.25288251 23.879109626 18.52 i 17.0041 236 5.138 1430.949 2782.756 0.12108447 0.058953356 -0.0070924228 4.126 2.871 86.7 0.304
1289 499846 240.9149384 23.893720813 17.339 i 15.8365 598 6.172 3988.141 2904.773 0.044579417 0.044957187 -0.0040931958 4.839 4.621 42.4 0.045
1368 39701 241.26776296 23.9173671 15.746 i 14.3425 2149 9.844 1318.616 3099.462 0.016266748 0.0074494551 0.0018111939 11.658 7.819 -84.2 0.329
1416 528031 241.33404336 23.916006418 17.274 i 16.1255 502 6.674 817.171 3088.756 0.035413485 0.073888466 0.065321118 7.728 3.287 -29.8 0.575
1443 335775 241.35727681 23.920358748 18.89 i 17.4569 180 4.511 641.455 3125.026 0.11755905 0.096351661 -0.049102597 3.531 2.735 56.7 0.225
1498 499880 240.94217487 23.935820678 17.228 i 15.7084 740 7.981 3781.554 3252.873 0.034051601 0.031333458 -0.00075096032 5.654 5.415 82.3 0.042
1539 66169 241.13520438 23.944561849 17.84 i 16.3587 417 6.065 2321.439 3324.12 0.047077615 0.06621445 -0.038017616 5.318 3.582 31.6 0.326
1608 62399 241.2480933 23.969972753 15.475 i 14.3138 2019 10.283 1467.739 3534.703 0.0086008767 0.0443055 -0.027143227 15.757 4.523 18.6 0.713
1627 62398 241.21066394 23.975023788 15.954 i 14.4484 1693 6.967 1750.807 3576.335 0.015720868 0.026237929 -0.013374321 8.954 5.824 25.9 0.35
1757 499973 241.32521348 24.031760136 17.78 i 16.4387 535 8.021 885.192 4046.641 0.024831261 0.050145455 -0.0028823307 6.356 4.462 3.2 0.298
1767 1229364 240.98950467 23.999153491 18.75 i 17.425 202 5.46 3422.969 3776.559 0.091899715 0.082781844 -0.011951655 3.539 3.247 63.7 0.083
1866 335788 240.94193964 23.976678313 18.62 i 17.1162 269 7.035 3782.851 3591.011 0.054342672 0.088672861 0.044147477 4.792 3.171 -26.1 0.338
1922 377828 241.26757803 24.04462063 17.92 i 16.3157 355 4.445 1320.928 4152.604 0.068137668 0.072333872 -0.030914448 4.278 3.413 41.1 0.202
1952 335785 241.37864545 23.970595984 18.67 i 17.192 301 7.596 480.484 3541.042 0.051255789 0.0596506 0.025473062 4.877 3.811 -35.9 0.219
