# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae0517.i.ut190429.5135_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
95 296595 240.60179474 24.099211133 17.36 i 16.0474 551
259 62355 240.47818396 24.150909072 15.469 i 15.0164 1008
356 335844 240.40046225 24.169459124 18.22 i 16.9136 248
461 302393 240.54802657 24.200189035 18.03 i 16.4744 212
470 56431 240.51651121 24.209386565 15.521 i 14.6158 1412
1049 71102 240.8092557 24.373258287 15.791 i 14.6067 1982
1117 1229731 240.57628159 24.376431671 18.92 i 17.418 125
1300 629846 240.75027358 24.429372671 17.209 i 15.7755 409
1417 629876 240.87418781 24.456812386 17.912 i 16.8066 230
1486 1128237 240.85867466 24.513619453 18.94 i 17.3789 135
1497 82929 240.85265878 24.510367467 16.566 i 15.9058 528
1594 126565 240.77953903 24.52401288 16.583 i 15.5409 537
1695 629897 240.89524369 24.471642005 17.175 i 16.0064 308
1766 335944 240.50905456 24.530919969 18.61 i 17.3742 157
