# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae0297.i.ut190425.1073_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
154 1142339 241.02953289 23.605122597 19.343 i 17.1798 226
198 70922 241.18996441 23.628644346 16.771 i 15.8746 625
210 77781 241.15023636 23.625129257 15.977 i 15.1653 1105
301 78303 241.24984809 23.658356734 15.455 i 14.7307 1834
320 62388 241.15270391 23.663192337 15.751 i 14.4662 1850
337 82939 241.26033427 23.669000145 15.2 i 14.6179 2393
537 690279 241.3795815 23.701819118 19.23 i 16.9558 210
714 62406 241.32341899 23.755728186 15.447 i 14.1625 1956
744 70947 241.23465465 23.757819005 16.884 i 15.6135 689
1039 62386 241.13940235 23.837742235 15.837 i 14.9708 1411
1134 397400 241.30088963 23.852624955 18.7 i 17.5986 212
1156 62402 241.27674579 23.86500934 16.468 i 15.1855 1015
1206 66171 241.24700823 23.869825232 16.997 i 15.9586 576
1228 499829 240.94704777 23.874625331 17.926 i 16.5508 333
1251 335757 241.25288251 23.879109626 18.52 i 17.0041 236
1289 499846 240.9149384 23.893720813 17.339 i 15.8365 598
1368 39701 241.26776296 23.9173671 15.746 i 14.3425 2149
1416 528031 241.33404336 23.916006418 17.274 i 16.1255 502
1443 335775 241.35727681 23.920358748 18.89 i 17.4569 180
1498 499880 240.94217487 23.935820678 17.228 i 15.7084 740
1539 66169 241.13520438 23.944561849 17.84 i 16.3587 417
1608 62399 241.2480933 23.969972753 15.475 i 14.3138 2019
1627 62398 241.21066394 23.975023788 15.954 i 14.4484 1693
1757 499973 241.32521348 24.031760136 17.78 i 16.4387 535
1767 1229364 240.98950467 23.999153491 18.75 i 17.425 202
1866 335788 240.94193964 23.976678313 18.62 i 17.1162 269
1922 377828 241.26757803 24.04462063 17.92 i 16.3157 355
1952 335785 241.37864545 23.970595984 18.67 i 17.192 301
