# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae24707.i.ut190604.5111_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
2 1060425 259.94647834 -1.2637142936 17.521 i 16.5937 264
91 1060426 259.92899939 -1.2561843232 17.082 i 16.4273 310
657 1112186 260.08718108 -1.2218570135 16.92 i 16.0996 379
988 246780 259.94131761 -1.1962477784 15.844 i 15.1269 875
1071 263850 260.06802397 -1.1935774063 16.554 i 15.953 432
1242 432155 260.13030172 -1.1712967357 16.219 i 15.0495 1393
1594 1060436 260.17864336 -1.166036822 17.177 i 16.4008 297
1850 132495 260.16987168 -1.149190259 16.013 i 15.3703 498
1890 246781 259.99604309 -1.145170977 16.106 i 15.5233 725
1935 432157 260.01766309 -1.1422423613 16.409 i 15.5093 541
2124 429775 259.99019404 -1.1303559342 16.446 i 16.1896 447
2149 246794 260.19049597 -1.1308348091 16.907 i 16.3173 317
2240 327965 260.19900552 -1.1118417685 16.59 i 13.921 2988
2269 429773 260.0012348 -1.1235893855 16.54 i 15.7378 526
2279 429774 259.91341769 -1.1187355612 16.573 i 15.8821 502
3287 246788 260.23351049 -1.0525934254 15.381 i 14.6465 1367
3342 432158 260.02043732 -1.0530253805 17.231 i 16.2006 360
3449 34015 260.19382234 -1.0430817161 15.196 i 14.706 1248
3641 246793 260.23031767 -1.0372679758 16.746 i 16.2712 290
3704 21677 260.20573881 -1.0150293265 15.176 i 14.5391 1370
3768 432159 260.07482699 -1.024778411 16.505 i 15.7729 625
4077 1060437 260.25139587 -1.008319274 16.689 i 16.3422 396
4125 429778 260.22243644 -1.006285166 17.19 i 16.5842 368
4133 246791 260.21834662 -0.99933309915 15.706 i 15.0851 1008
4352 12325 260.11740355 -0.97963812148 14.909 i 14.1418 2409
4877 1112187 260.12378114 -0.96079553428 17.344 i 16.7359 239
5224 246792 260.16666297 -0.93321657425 16.155 i 15.404 797
5335 246787 260.14874262 -0.93078974458 16.895 i 16.2244 391
5459 432154 259.90004308 -0.92384919532 17.322 i 16.5596 325
7116 328255 260.03103713 -0.85443287093 17.04 i 14.3092 1773
