# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae2369.i.ut190429.5128_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
2 472847 233.07706218 28.045692683 17.357 i 15.7142 637
38 2422656 233.51424722 28.053749732 18.7 i 17.0029 212
83 529519 233.18645686 28.063183037 17.745 i 16.0444 409
85 533512 233.33676055 28.067182545 17.013 i 15.3143 884
111 533516 233.33070876 28.072127041 17.468 i 16.0062 575
127 2422487 233.13947259 28.069722299 18.77 i 17.3207 189
138 533510 233.31552034 28.079509511 17.282 i 16.3328 497
147 2422441 233.04963431 28.074193665 18.84 i 17.0929 219
173 1156060 233.33092 28.07914275 17.87 i 16.3647 365
174 1233817 233.19128393 28.079201801 18.38 i 16.9219 299
214 1150522 233.00302627 28.089602772 17.75 i 16.3183 432
264 1233834 233.337174 28.099222006 18.04 i 16.525 372
267 472846 233.04443055 28.103465572 16.514 i 15.0738 1232
296 1145426 233.12481556 28.102962178 17.88 i 16.5411 321
345 472854 233.33830943 28.11626868 17.457 i 16.0397 567
348 2422625 233.45175151 28.112771805 18.72 i 17.2633 176
502 42481 233.42260119 28.145523424 16.274 i 15.1465 1001
661 2422569 233.32789567 28.181215229 18.29 i 16.9377 241
669 2422417 232.99951129 28.183396649 18.62 i 17.2079 273
741 2422534 233.26349039 28.198187426 19.03 i 17.2144 203
761 2422438 233.04256627 28.201408162 17.95 i 16.7119 264
763 1415109 233.14487236 28.201448812 18.76 i 17.1421 181
788 2422475 233.12831331 28.206808599 18.49 i 16.9281 232
810 1150534 233.16790314 28.21226401 17.81 i 16.4076 401
1069 1233996 233.23313557 28.270189599 18.7 i 17.0203 245
1105 2422508 233.20844503 28.276739665 18.93 i 17.23 208
1120 1437103 233.36719329 28.27953104 18.81 i 17.2413 169
1142 1234009 233.15117423 28.287741826 18.46 i 16.8519 328
1400 53133 233.19412928 28.367168156 15.239 i 14.4153 2410
1569 1150558 233.21571531 28.408761765 17.57 i 16.1143 573
1909 1415206 233.18261641 28.46738407 18.72 i 17.9391 121
2094 489787 233.14983098 28.454976319 16.224 i 14.8013 2179
2103 635649 233.47082947 28.512831332 17.801 i 16.2384 392
