# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae26547.i.ut190425.1063_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
991 430569 255.99520313 -4.6581840454 16.56 i 16.4753 401
1547 1078493 256.00406395 -4.6073198092 17.033 i 16.5919 253
2162 1088065 255.87469517 -4.5500545385 17.035 i 16.3029 431
2318 1078494 256.04819493 -4.5363422924 17.696 i 17.2859 209
2846 1078531 256.2008859 -4.4881490765 17.684 i 17.2433 186
2995 255798 255.92336931 -4.4669980646 15.807 i 15.2455 1026
3732 1078530 256.20102166 -4.4034860869 18.083 i 17.438 197
3803 1088066 255.86846104 -4.3933121621 17.662 i 16.6119 381
4037 35905 255.89466295 -4.3673444367 15.447 i 14.9767 1246
4133 1078500 256.1574043 -4.362272853 17.337 i 17.007 320
4762 1078501 256.07627859 -4.3096834543 17.076 i 16.7464 397
5216 12384 255.8614459 -4.28196 14.504 i 14.0756 3001
