# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# - name: flux_radius
#   datatype: float64
# - name: x
#   datatype: float64
# - name: y
#   datatype: float64
# - name: cxx
#   datatype: float64
# - name: cyy
#   datatype: float64
# - name: cxy
#   datatype: float64
# - name: A
#   datatype: float64
# - name: B
#   datatype: float64
# - name: theta
#   datatype: float64
# - name: ellip
#   datatype: float64
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae16005.r.ut190425.1112_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels flux_radius x y cxx cyy cxy A B theta ellip
5 1222732 246.36063005 16.121592389 18.98 r 17.6257 181 3.875 2192.487 262.288 0.097762652 0.13240184 0.034799106 3.324 2.676 -22.6 0.195
206 619397 246.103202 16.165025684 18.74 r 17.4161 295 5.474 4238.733 622.949 0.058182113 0.062872253 0.001230508 4.149 3.986 -7.4 0.039
1026 277383 246.23313374 16.327917666 17.83 r 17.104 312 5.519 3205.136 1970.1 0.092306711 0.04818375 -0.019222347 4.653 3.256 78.2 0.3
1177 494111 246.39025245 16.364175301 16.733 r 16.2645 573 7.051 1957.339 2269.908 0.067243747 0.027396902 0.036774494 7.034 3.665 -68.6 0.479
1542 12292 246.40848028 16.455032159 14.227 r 13.637 5045 13.702 1812.803 3021.861 0.0054915808 0.0064625009 3.799787e-05 13.495 12.439 -1.1 0.078
1850 1409405 246.29581887 16.50037962 18.86 r 17.8745 200 4.74 2706.881 3397.157 0.07101579 0.12415332 0.027870461 3.847 2.8 -13.8 0.272
1875 361312 246.21811781 16.504487755 18.27 r 17.5867 215 10.519 3323.423 3431.45 0.035109725 0.13643447 0.019930342 5.412 2.698 -5.6 0.502
2068 1412807 246.119076 16.539040277 19.15 r 17.8332 182 4.206 4108.988 3718.126 0.10654742 0.10347242 0.0060304352 3.137 3.037 -58.5 0.032
2181 682055 246.13456038 16.521130653 18.36 r 17.4051 194 3.843 3986.301 3569.769 0.12450088 0.10281372 -0.034498882 3.274 2.731 61.1 0.166
2259 12547 246.45781654 16.576219438 14.622 r 14.0157 4327 18.286 1421.74 4024.954 0.0042824694 0.022164138 -0.015977088 28.473 6.298 20.9 0.779
